hazard,iso3,country,year,month,plot_date,policy_year,monthly_max_shake_proxy,monthly_sum_shake_proxy,monthly_max_mag_nearby,n_eq_nearby,has_payout,payout_amount_usd
earthquake,AIA,Anguilla,2024,5,2024-05-01,2023/24,65.97505038448487,129.75051270882267,5.6,2,0,0.0
earthquake,AIA,Anguilla,2024,6,2024-06-01,2024/25,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2024,7,2024-07-01,2024/25,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2024,8,2024-08-01,2024/25,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2024,9,2024-09-01,2024/25,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2024,10,2024-10-01,2024/25,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2024,11,2024-11-01,2024/25,136.0093480429831,285.59704268531755,5.0,3,0,0.0
earthquake,AIA,Anguilla,2024,12,2024-12-01,2024/25,66.12103193023243,66.12103193023243,4.65,1,0,0.0
earthquake,ATG,Antigua and Barbuda,2007,1,2007-01-01,2006/07,29.79923677962839,29.79923677962839,4.7,1,0,0.0
earthquake,ATG,Antigua and Barbuda,2007,2,2007-02-01,2006/07,285.56790307819864,285.56790307819864,5.0,1,0,0.0
earthquake,ATG,Antigua and Barbuda,2007,3,2007-03-01,2006/07,24.79213980481879,24.79213980481879,4.7,1,0,0.0
earthquake,ATG,Antigua and Barbuda,2007,4,2007-04-01,2006/07,97.52676042757447,97.52676042757447,4.5,1,0,0.0
earthquake,ATG,Antigua and Barbuda,2007,5,2007-05-01,2006/07,115.9944482635909,115.9944482635909,4.5,1,0,0.0
earthquake,ATG,Antigua and Barbuda,2007,6,2007-06-01,2007/08,38.98938650322341,38.98938650322341,4.8,1,0,0.0
earthquake,ATG,Antigua and Barbuda,2007,7,2007-07-01,2007/08,161.1867204570575,161.1867204570575,4.6,1,0,0.0
earthquake,ATG,Antigua and Barbuda,2007,8,2007-08-01,2007/08,129.42266378275204,204.49322972276968,4.9,2,0,0.0
earthquake,ATG,Antigua and Barbuda,2007,9,2007-09-01,2007/08,59.383737379932434,144.3176930999434,5.0,3,0,0.0
earthquake,ATG,Antigua and Barbuda,2007,10,2007-10-01,2007/08,0.0,0.0,,0,0,0.0
earthquake,ATG,Antigua and Barbuda,2007,11,2007-11-01,2007/08,1491.7455351103283,1958.1588568519928,7.4,7,0,0.0
earthquake,ATG,Antigua and Barbuda,2007,12,2007-12-01,2007/08,126.68803099322903,464.1279900142311,5.3,8,0,0.0
earthquake,ATG,Antigua and Barbuda,2008,1,2008-01-01,2007/08,0.0,0.0,,0,0,0.0
earthquake,ATG,Antigua and Barbuda,2008,2,2008-02-01,2007/08,113.75332644935592,163.6001997223024,5.3,2,0,0.0
earthquake,ATG,Antigua and Barbuda,2008,3,2008-03-01,2007/08,0.0,0.0,,0,0,0.0
earthquake,ATG,Antigua and Barbuda,2008,4,2008-04-01,2007/08,0.0,0.0,,0,0,0.0
earthquake,ATG,Antigua and Barbuda,2008,5,2008-05-01,2007/08,92.66477636164667,147.36136299498202,4.6,3,0,0.0
earthquake,ATG,Antigua and Barbuda,2008,6,2008-06-01,2008/09,61.59634313253012,109.52493631108436,4.9,2,0,0.0
earthquake,ATG,Antigua and Barbuda,2008,7,2008-07-01,2008/09,0.0,0.0,,0,0,0.0
earthquake,ATG,Antigua and Barbuda,2008,8,2008-08-01,2008/09,0.0,0.0,,0,0,0.0
earthquake,ATG,Antigua and Barbuda,2008,9,2008-09-01,2008/09,32.011490148352685,32.011490148352685,4.7,1,0,0.0
earthquake,ATG,Antigua and Barbuda,2008,10,2008-10-01,2008/09,175.66604852056287,175.66604852056287,6.1,1,0,0.0
earthquake,ATG,Antigua and Barbuda,2008,11,2008-11-01,2008/09,223.45705638604005,377.9141450548336,4.8,2,0,0.0
earthquake,ATG,Antigua and Barbuda,2008,12,2008-12-01,2008/09,105.75041560395756,133.08637669070086,4.8,2,0,0.0
