hazard,iso3,country,year,month,plot_date,policy_year,hazard_index,monthly_total_mm_pop,has_payout,payout_amount_usd
rain,JAM,Jamaica,2023,1,2023-01-01,2022/23,45.931924722491495,45.931924722491495,0,0.0
rain,JAM,Jamaica,2023,2,2023-02-01,2022/23,20.64925713539968,20.64925713539968,0,0.0
rain,JAM,Jamaica,2023,3,2023-03-01,2022/23,44.24277261546115,44.24277261546115,0,0.0
rain,JAM,Jamaica,2023,4,2023-04-01,2022/23,43.48244137966172,43.48244137966172,0,0.0
rain,JAM,Jamaica,2023,5,2023-05-01,2022/23,140.19027126939662,140.19027126939662,0,0.0
rain,JAM,Jamaica,2023,6,2023-06-01,2023/24,147.69070993734314,147.69070993734314,0,0.0
rain,JAM,Jamaica,2023,7,2023-07-01,2023/24,36.0493637171707,36.0493637171707,0,0.0
rain,JAM,Jamaica,2023,8,2023-08-01,2023/24,99.88739890687052,99.88739890687052,0,0.0
rain,JAM,Jamaica,2023,9,2023-09-01,2023/24,99.34334868958256,99.34334868958256,0,0.0
rain,JAM,Jamaica,2023,10,2023-10-01,2023/24,111.24207556289136,111.24207556289136,0,0.0
rain,JAM,Jamaica,2023,11,2023-11-01,2023/24,293.9849512302717,293.9849512302717,0,0.0
rain,JAM,Jamaica,2023,12,2023-12-01,2023/24,46.59445461256225,46.59445461256225,0,0.0
rain,JAM,Jamaica,2024,1,2024-01-01,2023/24,45.285596512015616,45.285596512015616,0,0.0
rain,JAM,Jamaica,2024,2,2024-02-01,2023/24,33.08909823575218,33.08909823575218,0,0.0
rain,JAM,Jamaica,2024,3,2024-03-01,2023/24,62.46506035359196,62.46506035359196,0,0.0
rain,JAM,Jamaica,2024,4,2024-04-01,2023/24,57.01631141739748,57.01631141739748,0,0.0
rain,JAM,Jamaica,2024,5,2024-05-01,2023/24,100.87997828544252,100.87997828544252,0,0.0
rain,JAM,Jamaica,2024,6,2024-06-01,2024/25,188.91073401423395,188.91073401423395,0,0.0
rain,JAM,Jamaica,2024,7,2024-07-01,2024/25,158.94356856960556,158.94356856960556,1,10278754.0
rain,JAM,Jamaica,2024,8,2024-08-01,2024/25,109.1034765901058,109.1034765901058,0,0.0
rain,JAM,Jamaica,2024,9,2024-09-01,2024/25,159.4213354002714,159.4213354002714,0,0.0
rain,JAM,Jamaica,2024,10,2024-10-01,2024/25,129.41491213990426,129.41491213990426,0,0.0
rain,JAM,Jamaica,2024,11,2024-11-01,2024/25,291.6322640125968,291.6322640125968,0,0.0
rain,JAM,Jamaica,2024,12,2024-12-01,2024/25,53.68714536989279,53.68714536989279,0,0.0
rain,TTO,Trinidad and Tobago,2017,1,2017-01-01,2016/17,109.85375989843988,109.85375989843988,0,0.0
rain,TTO,Trinidad and Tobago,2017,2,2017-02-01,2016/17,41.36441441592022,41.36441441592022,0,0.0
rain,TTO,Trinidad and Tobago,2017,3,2017-03-01,2016/17,42.55389432576104,42.55389432576104,0,0.0
rain,TTO,Trinidad and Tobago,2017,4,2017-04-01,2016/17,18.33056250969497,18.33056250969497,0,0.0
rain,TTO,Trinidad and Tobago,2017,5,2017-05-01,2016/17,70.4944607559297,70.4944607559297,0,0.0
rain,TTO,Trinidad and Tobago,2017,6,2017-06-01,2017/18,302.2099515096821,302.2099515096821,0,0.0
