hazard,iso3,country,year,month,plot_date,policy_year,hazard_index,monthly_max_wind_kt,monthly_max_wind_mps,n_storms,storm_names,storm_ids,has_payout,payout_amount_usd
tc,BLZ,Belize,2018,9,2018-09-01,2018/19,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2018,10,2018-10-01,2018/19,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2018,11,2018-11-01,2018/19,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2018,12,2018-12-01,2018/19,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2019,1,2019-01-01,2018/19,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2019,2,2019-02-01,2018/19,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2019,3,2019-03-01,2018/19,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2019,4,2019-04-01,2018/19,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2019,5,2019-05-01,2018/19,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2019,6,2019-06-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2019,7,2019-07-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2019,8,2019-08-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2019,9,2019-09-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2019,10,2019-10-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2019,11,2019-11-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2019,12,2019-12-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2020,1,2020-01-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,BLZ,Belize,2020,2,2020-02-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
